time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,force_cmd_N
0.371,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.372,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.373,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.374,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.375,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.376,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.377,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.378,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.379,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.38,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.381,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.382,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.383,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.384,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.385,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.386,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.387,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.388,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.389,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.39,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.391,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.392,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.393,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.394,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.395,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.396,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.397,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.398,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.399,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.4,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.401,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.402,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.403,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.404,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.405,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.406,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.407,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.408,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.409,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.41,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.411,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.412,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.413,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.414,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.415,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.416,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.417,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.418,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.419,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.42,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.421,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.422,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.423,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.424,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.425,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.426,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.427,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.428,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.429,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.43,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.431,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.432,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.433,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.434,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.435,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.436,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.437,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.438,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.439,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.44,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.441,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.442,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.443,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.444,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.445,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.446,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.447,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.448,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.449,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.45,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.451,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.452,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.453,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.454,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.455,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.456,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.457,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.458,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.459,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.46,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.461,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.462,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.463,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.464,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.465,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.466,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.467,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.468,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.469,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.47,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.471,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.472,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.473,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.474,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.475,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.476,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.477,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.478,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.479,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.48,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.481,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.482,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.483,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.484,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.485,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.486,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.487,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.488,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.489,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.49,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.491,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.492,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.493,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.494,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.495,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.496,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.497,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.498,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.499,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.5,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.501,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.502,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.503,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.504,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.505,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.506,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.507,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.508,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.509,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.51,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.511,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.512,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.513,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.514,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.515,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.516,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.517,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.518,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.519,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.52,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.521,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.522,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.523,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.524,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.525,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.526,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.527,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.528,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.529,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.53,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.531,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.532,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.533,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.534,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.535,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.536,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.537,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.538,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.539,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.54,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.541,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.542,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.543,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.544,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.545,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.546,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.547,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.548,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.549,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.55,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.551,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.552,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.553,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.554,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.555,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.556,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.557,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.558,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.559,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.56,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.561,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.562,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.563,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.564,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.565,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.566,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.567,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.568,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.569,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.57,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.571,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.572,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.573,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.574,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.575,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.576,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.577,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.578,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.579,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.58,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.581,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.582,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.583,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.584,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.585,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.586,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.587,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.588,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.589,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.59,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.591,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.592,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.593,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.594,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.595,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.596,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.597,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.598,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.599,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.6,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.601,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.602,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.603,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.604,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.605,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.606,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.607,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.608,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.609,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.61,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.611,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.612,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.613,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.614,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.615,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.616,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.617,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.618,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.619,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.62,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.621,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.622,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.623,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.624,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.625,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.626,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.627,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.628,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.629,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.63,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.631,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.632,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.633,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.634,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.635,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.636,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.637,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.638,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.639,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.64,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.641,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.642,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.643,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.644,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.645,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.646,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.647,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.648,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.649,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.65,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.651,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.652,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.653,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.654,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.655,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.656,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.657,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.658,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.659,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.66,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.661,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.662,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.663,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.664,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.665,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.666,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.667,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.668,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.669,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.67,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.671,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.672,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.673,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.674,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.675,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.676,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.677,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.678,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.679,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.68,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.681,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.682,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.683,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.684,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.685,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.686,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.687,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.688,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.689,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.69,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.691,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.692,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.693,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.694,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.695,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.696,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.697,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.698,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.699,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.7,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.701,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.702,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.703,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.704,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.705,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.706,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.707,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.708,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.709,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.71,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.711,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.712,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.713,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.714,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.715,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.716,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.717,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.718,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.719,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.72,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.721,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.722,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.723,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.724,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.725,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.726,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.727,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.728,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.729,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.73,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.731,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.732,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.733,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.734,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.735,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.736,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.737,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.738,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.739,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.74,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.741,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.742,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.743,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.744,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.745,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.746,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.747,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.748,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.749,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.75,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.751,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.752,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.753,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.754,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.755,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.756,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.757,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
