time,stage_id,ambient_temp_C_profile,enable,i_load_A_profile,temp_ref_C,temp_cell_C,pump_cmd,soc,v_term_V
0.0,stage1,25.0,True,40.0,35.0,30.0,0.2,0.85,359.6586
0.01,stage1,25.0,True,40.0,35.0,29.99990769230769,0.198,0.85,359.6586
0.02,stage1,25.0,True,40.0,35.0,29.999815386319526,0.19602,0.85,359.6586
0.03,stage1,25.0,True,40.0,35.0,29.99972308203547,0.1940598,0.85,359.6586
0.04,stage1,25.0,True,40.0,35.0,29.999630779455494,0.19211920200000002,0.85,359.6586
0.05,stage1,25.0,True,40.0,35.0,29.999538478579566,0.19019800998000003,0.85,359.6586
0.06,stage1,25.0,True,40.0,35.0,29.999446179407656,0.18829602988020003,0.85,359.6586
0.07,stage1,25.0,True,40.0,35.0,29.99935388193973,0.18641306958139803,0.85,359.6586
0.08,stage1,25.0,True,40.0,35.0,29.999261586175756,0.18454893888558405,0.85,359.6586
0.09,stage1,25.0,True,40.0,35.0,29.999169292115702,0.1827034494967282,0.85,359.6586
0.1,stage1,25.0,True,40.0,35.0,29.99907699975954,0.1808764150017609,0.85,359.6586
0.11,stage1,25.0,True,40.0,35.0,29.998984709107237,0.1790676508517433,0.85,359.6586
0.12,stage1,25.0,True,40.0,35.0,29.99889242015876,0.17727697434322587,0.85,359.6586
0.13,stage1,25.0,True,40.0,35.0,29.99880013291408,0.1755042045997936,0.85,359.6586
0.14,stage1,25.0,True,40.0,35.0,29.998707847373165,0.17374916255379566,0.85,359.6586
0.15,stage1,25.0,True,40.0,35.0,29.99861556353598,0.1720116709282577,0.85,359.6586
0.16,stage1,25.0,True,40.0,35.0,29.998523281402502,0.17029155421897513,0.85,359.6586
0.17,stage1,25.0,True,40.0,35.0,29.99843100097269,0.16858863867678536,0.85,359.6586
0.18,stage1,25.0,True,40.0,35.0,29.99833872224652,0.16690275229001753,0.85,359.6586
0.19,stage1,25.0,True,40.0,35.0,29.998246445223955,0.16523372476711734,0.85,359.6586
0.2,stage1,25.0,True,40.0,35.0,29.998154169904968,0.16358138751944618,0.85,359.6586
0.21,stage1,25.0,True,40.0,35.0,29.998061896289524,0.16194557364425172,0.85,359.6586
0.22,stage1,25.0,True,40.0,35.0,29.997969624377593,0.1603261179078092,0.85,359.6586
0.23,stage1,25.0,True,40.0,35.0,29.99787735416914,0.15872285672873113,0.85,359.6586
0.24,stage1,25.0,True,40.0,35.0,29.99778508566414,0.15713562816144383,0.85,359.6586
0.25,stage1,25.0,True,40.0,35.0,29.99769281886256,0.15556427187982938,0.85,359.6586
0.26,stage1,25.0,True,40.0,35.0,29.997600553764368,0.15400862916103109,0.85,359.6586
0.27,stage1,25.0,True,40.0,35.0,29.99750829036953,0.15246854286942077,0.85,359.6586
0.28,stage1,25.0,True,40.0,35.0,29.997416028678018,0.15094385744072655,0.85,359.6586
0.29,stage1,25.0,True,40.0,35.0,29.997323768689796,0.1494344188663193,0.85,359.6586
0.3,stage1,25.0,True,40.0,35.0,29.997231510404834,0.1479400746776561,0.85,359.6586
0.31,stage1,25.0,True,40.0,35.0,29.997139253823104,0.14646067393087955,0.85,359.6586
0.32,stage1,25.0,True,40.0,35.0,29.997046998944572,0.14499606719157077,0.85,359.6586
0.33,stage1,25.0,True,40.0,35.0,29.99695474576921,0.14354610651965505,0.85,359.6586
0.34,stage1,25.0,True,40.0,35.0,29.99686249429698,0.1421106454544585,0.85,359.6586
0.35,stage1,25.0,True,40.0,35.0,29.996770244527855,0.14068953899991393,0.85,359.6586
0.36,stage1,25.0,True,40.0,35.0,29.996677996461802,0.1392826436099148,0.85,359.6586
0.37,stage1,25.0,True,40.0,35.0,29.99658575009879,0.13788981717381565,0.85,359.6586
0.38,stage1,25.0,True,40.0,35.0,29.99649350543879,0.13651091900207749,0.85,359.6586
0.39,stage1,25.0,True,40.0,35.0,29.996401262481765,0.1351458098120567,0.85,359.6586
0.4,stage1,25.0,True,40.0,35.0,29.996309021227688,0.13379435171393614,0.85,359.6586
0.41,stage1,25.0,True,40.0,35.0,29.996216781676527,0.13245640819679677,0.85,359.6586
0.42,stage1,25.0,True,40.0,35.0,29.996124543828248,0.1311318441148288,0.85,359.6586
0.43,stage1,25.0,True,40.0,35.0,29.996032307682825,0.12982052567368052,0.85,359.6586
0.44,stage1,25.0,True,40.0,35.0,29.99594007324022,0.12852232041694372,0.85,359.6586
0.45,stage1,25.0,True,40.0,35.0,29.995847840500407,0.1272370972127743,0.85,359.6586
